loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho, rpm1, rpm2, rpm3, rpm4,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,flight mode
1,117,868982318849,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2454,0.0000,0.0610,0.0000,0.1831,-0.1315,-0.2038,-10.6431,0.0198,-0.0055,-0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
2,118,869040732911,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2454,0.0000,-0.0610,-0.1221,-0.0000,-0.1530,-0.2134,-10.6097,0.0199,-0.0057,-0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0020,0.0020,0.0020,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
3,119,869043960659,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2457,0.0000,0.0610,-0.1831,-0.0000,-0.1458,-0.1630,-10.5954,0.0199,-0.0057,-0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0040,0.0040,0.0034,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
4,120,869048837549,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2454,0.0000,0.0000,-0.0610,-0.0610,-0.1363,-0.1774,-10.6050,0.0199,-0.0057,-0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0060,0.0060,0.0047,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
5,121,869054121391,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2447,0.0000,-0.0610,-0.1221,-0.0610,-0.1387,-0.2445,-10.5739,0.0199,-0.0057,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0080,0.0080,0.0058,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
6,122,869058751976,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2452,0.0000,-0.0610,-0.1221,-0.0000,-0.1530,-0.2086,-10.6503,0.0199,-0.0057,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0100,0.0100,0.0066,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
7,123,869063981824,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2447,0.0000,-0.0610,-0.1221,-0.0610,-0.1363,-0.1990,-10.5644,0.0199,-0.0057,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0120,0.0116,0.0074,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
8,124,869069158012,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2447,0.0000,-0.0610,-0.1221,0.1221,-0.1267,-0.1942,-10.6861,0.0199,-0.0057,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0140,0.0126,0.0079,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
9,125,869073760975,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2445,0.0000,-0.0610,-0.1831,0.1831,-0.1530,-0.1654,-10.6073,0.0199,-0.0058,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0160,0.0134,0.0083,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
10,126,869078738436,-10.4557,-0.1880,0.0484,0.0210,0.0810,-0.0290,1.1647,23.4375,23.4375,23.4375,23.4375,12.2445,0.0000,0.0000,-0.0610,-0.0000,-0.1124,-0.1870,-10.5978,0.0199,-0.0058,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1880,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0180,0.0139,0.0088,0.0000,0.0000,-0.5689,0.0025,0.0025,0.0025,0.0025,4
